,ET_W,ET_S,secTw,secTs,ETwTs,ET,secT,routing,EM,dist,k,l
69,171.71611889547955,15.0,32797.96595465153,426.2449799196788,2755.8772368479035,186.71611889547955,38555.09735775171,Return,3,negbin_15,1,100.0
70,240.96385542168676,15.0,58063.57961968356,426.2449799196788,3614.4578313253014,255.96385542168676,65718.74026225384,Largest,3,negbin_15,1,100.0
71,292.1980466063229,15.0,32761.676217389228,426.2449799196788,13779.386184239524,307.1980466063229,60746.69356578795,Sshaped,3,negbin_15,1,100.0
72,172.83484916419587,15.0,33058.68649554466,592.5783132530121,2750.2835855043218,187.83484916419587,38970.963929291,Return,3,bin_50,1,100.0
73,240.96385542168676,15.0,58063.57961968356,592.5783132530121,3614.4578313253014,255.96385542168676,65885.07359558718,Largest,3,bin_50,1,100.0
74,293.3167768750393,15.0,33022.39675828235,592.5783132530121,13751.417927521612,308.3167768750393,61117.81092657859,Sshaped,3,bin_50,1,100.0
75,172.746170456892,15.0,33038.06165918083,593.2449799196787,2750.7269790408413,187.746170456892,38951.89254666687,Return,3,bin_75,1,100.0
76,240.96385542168676,15.0,58063.57961968356,593.2449799196787,3614.4578313253014,255.96385542168676,65885.74026225384,Largest,3,bin_75,1,100.0
77,293.2280981677354,15.0,33001.77192191853,593.2449799196787,13753.634895204206,308.2280981677354,61102.28669224662,Sshaped,3,bin_75,1,100.0
78,172.7020006946061,15.0,33027.78603571339,593.5783132530121,2750.9478278522706,187.7020006946061,38942.391954155624,Return,3,bin_100,1,100.0
79,240.96385542168676,15.0,58063.57961968356,593.5783132530121,3614.4578313253014,255.96385542168676,65886.07359558718,Largest,3,bin_100,1,100.0
80,293.18392840544954,15.0,32991.496298451086,593.5783132530121,13754.739139261354,308.18392840544954,61094.552890226805,Sshaped,3,bin_100,1,100.0
81,186.0833448897493,20.0,37023.108817538334,667.7710843373494,3888.860383984988,206.0833448897493,45239.53984824601,Return,4,poi,1,100.0
82,240.96385542168676,20.0,58063.57961968356,667.7710843373494,4819.2771084337355,260.96385542168673,68369.90492088838,Largest,4,poi,1,100.0
83,306.5652726005927,20.0,36986.819080276044,667.7710843373494,19444.301919924947,326.5652726005927,76543.1940044633,Sshaped,4,poi,1,100.0
84,172.81988100456329,20.0,33667.103098688734,892.7710843373494,3955.177703410919,192.81988100456329,42241.168768248266,Return,4,geo,1,100.0
85,240.96385542168676,20.0,58063.57961968356,892.7710843373494,4819.2771084337355,260.96385542168673,68594.90492088838,Largest,4,geo,1,100.0
86,293.30180871540665,20.0,33630.81336142644,892.7710843373494,19775.8885170546,313.30180871540665,74075.36147987298,Sshaped,4,geo,1,100.0
87,192.7710843373494,20.0,38745.34281705134,592.7710843373494,3855.421686746988,212.7710843373494,46819.896453283014,Return,4,det,1,100.0
88,240.96385542168676,20.0,58063.57961968356,592.7710843373494,4819.2771084337355,260.96385542168673,68294.90492088838,Largest,4,det,1,100.0
89,313.2530120481928,20.0,38709.05307978903,592.7710843373494,19277.108433734946,333.2530120481928,77856.04103159628,Sshaped,4,det,1,100.0
90,182.72307981927713,20.0,36174.8197609716,712.7710843373494,3905.6617093373497,202.72307981927713,44469.853442383996,Return,4,negbin_5,1,100.0
91,240.96385542168676,20.0,58063.57961968356,712.7710843373494,4819.2771084337355,260.96385542168673,68414.90492088838,Largest,4,negbin_5,1,100.0
92,303.2050075301205,20.0,36138.530023709296,712.7710843373494,19528.30854668675,323.2050075301205,75907.91820142014,Sshaped,4,negbin_5,1,100.0
93,184.34517797173785,20.0,36584.02447987882,690.2710843373493,3897.5512185750463,204.34517797173785,44840.337179766604,Return,4,negbin_10,1,100.0
94,240.96385542168676,20.0,58063.57961968356,690.2710843373493,4819.2771084337355,260.96385542168673,68392.40492088838,Largest,4,negbin_10,1,100.0
95,304.82710568258125,20.0,36547.734742616514,690.2710843373493,19487.756092875235,324.82710568258125,76213.51801270433,Sshaped,4,negbin_10,1,100.0
96,184.91116513348408,20.0,36726.89772441568,682.7710843373493,3894.721282766315,204.91116513348408,44970.050552686,Return,4,negbin_15,1,100.0
97,240.96385542168676,20.0,58063.57961968356,682.7710843373493,4819.2771084337355,260.96385542168673,68384.90492088838,Largest,4,negbin_15,1,100.0
98,305.3930928443275,20.0,36690.60798715337,682.7710843373493,19473.60641383157,325.3930928443275,76320.59189915386,Sshaped,4,negbin_15,1,100.0
99,186.44577732778637,20.0,37114.816904850166,888.2710843373494,3887.048221794803,206.44577732778637,45548.12361117747,Return,4,bin_50,1,100.0
100,240.96385542168676,20.0,58063.57961968356,888.2710843373494,4819.2771084337355,260.96385542168673,68590.40492088838,Largest,4,bin_50,1,100.0
101,306.92770503862977,20.0,37078.52716758786,888.2710843373494,19435.24110897402,326.92770503862977,76837.28046987325,Sshaped,4,bin_50,1,100.0
102,186.32440363480484,20.0,37084.09734723428,889.7710843373494,3887.6550902597114,206.32440363480484,45520.1177904914,Return,4,bin_75,1,100.0
103,240.96385542168676,20.0,58063.57961968356,889.7710843373494,4819.2771084337355,260.96385542168673,68591.90492088838,Largest,4,bin_75,1,100.0
104,306.80633134564823,20.0,37047.80760997198,889.7710843373494,19438.275451298563,326.80633134564823,76814.12959690645,Sshaped,4,bin_75,1,100.0
105,186.26392830216852,20.0,37068.794095149824,890.5210843373494,3887.9574669228923,206.26392830216852,45506.169291733306,Return,4,bin_100,1,100.0
106,240.96385542168676,20.0,58063.57961968356,890.5210843373494,4819.2771084337355,260.96385542168673,68592.65492088838,Largest,4,bin_100,1,100.0
107,306.7458560130119,20.0,37032.50435788751,890.5210843373494,19439.787334614462,326.7458560130119,76802.6001114538,Sshaped,4,bin_100,1,100.0
108,195.50729459504922,25.0,40021.467698101085,965.9638554216867,5046.559912566923,220.50729459504922,50803.29778597263,Return,5,poi,1,100.0
109,240.96385542168676,25.0,58063.57961968356,965.9638554216867,6024.096385542169,265.96385542168673,71077.73624618958,Largest,5,poi,1,100.0
110,315.98922230589255,25.0,39985.17796083877,965.9638554216867,25232.799562834618,340.98922230589255,91416.74094192969,Sshaped,5,poi,1,100.0
111,180.01220538899838,25.0,35897.90279639182,1365.9638554216865,5124.035358597177,205.01220538899838,47234.683776323865,Return,5,geo,1,100.0
112,240.96385542168676,25.0,58063.57961968356,1365.9638554216865,6024.096385542169,265.96385542168673,71477.73624618958,Largest,5,geo,1,100.0
113,300.49413309984186,25.0,35861.61305912953,1365.9638554216865,25620.176792985905,325.49413309984186,88467.93050052303,Sshaped,5,geo,1,100.0
114,200.80321285140562,25.0,41510.27517989341,865.9638554216867,5020.0803212851415,225.80321285140562,52139.14608520139,Return,5,det,1,100.0
115,240.96385542168676,25.0,58063.57961968356,865.9638554216867,6024.096385542169,265.96385542168673,70977.73624618958,Largest,5,det,1,100.0
116,321.285140562249,25.0,41473.98544263113,865.9638554216867,25100.40160642571,346.285140562249,92540.75251090423,Sshaped,5,det,1,100.0
117,191.6582654348533,25.0,38984.28758914881,1045.963855421687,5065.805058367902,216.6582654348533,49884.60796862232,Return,5,negbin_5,1,100.0
118,240.96385542168676,25.0,58063.57961968356,1045.963855421687,6024.096385542169,265.96385542168673,71157.73624618958,Largest,5,negbin_5,1,100.0
119,312.1401931456967,25.0,38947.997851886495,1045.963855421687,25329.025291839513,337.1401931456967,90652.01229098722,Sshaped,5,negbin_5,1,100.0
120,193.52910890340797,25.0,39486.00271830452,1005.9638554216867,5056.450841025129,218.52910890340797,50327.61466309247,Return,5,negbin_10,1,100.0
121,240.96385542168676,25.0,58063.57961968356,1005.9638554216867,6024.096385542169,265.96385542168673,71117.73624618958,Largest,5,negbin_10,1,100.0
122,314.01103661425134,25.0,39449.71298104221,1005.9638554216867,25282.254205125646,339.01103661425134,91020.18524671519,Sshaped,5,negbin_10,1,100.0
123,194.1767419394821,25.0,39660.63723845665,992.6305220883534,5053.212675844758,219.1767419394821,50482.43951955053,Return,5,negbin_15,1,100.0
124,240.96385542168676,25.0,58063.57961968356,992.6305220883534,6024.096385542169,265.96385542168673,71104.40291285625,Largest,5,negbin_15,1,100.0
125,314.65866965032546,25.0,39624.347501194345,992.6305220883534,25266.063379223793,339.65866965032546,91149.10478173028,Sshaped,5,negbin_15,1,100.0
126,195.91529544160693,25.0,40132.77398773235,1232.9638554216867,5044.519908334134,220.91529544160693,51177.52406713832,Return,5,bin_50,1,100.0
127,240.96385542168676,25.0,58063.57961968356,1232.9638554216867,6024.096385542169,265.96385542168673,71344.73624618958,Largest,5,bin_50,1,100.0
128,316.39722315245035,25.0,40096.48425047003,1232.9638554216867,25222.599541670672,341.39722315245035,91774.64718923306,Sshaped,5,bin_50,1,100.0
129,195.778859165787,25.0,40095.513953348796,1235.6305220883532,5045.202089713234,220.778859165787,51144.295062179626,Return,5,bin_75,1,100.0
130,240.96385542168676,25.0,58063.57961968356,1235.6305220883532,6024.096385542169,265.96385542168673,71347.40291285625,Largest,5,bin_75,1,100.0
131,316.2607868766304,25.0,40059.2242160865,1235.6305220883532,25226.010448566172,341.2607868766304,91746.8756353072,Sshaped,5,bin_75,1,100.0
132,195.71080351807487,25.0,40076.94319403195,1236.963855421687,5045.542367951794,220.71080351807487,51127.738192673234,Return,5,bin_100,1,100.0
133,240.96385542168676,25.0,58063.57961968356,1236.963855421687,6024.096385542169,265.96385542168673,71348.73624618958,Largest,5,bin_100,1,100.0
134,316.1927312289182,25.0,40040.65345676965,1236.963855421687,25227.711839758973,341.1927312289182,91733.04099170928,Sshaped,5,bin_100,1,100.0
135,202.34469448675583,30.0,42319.09503869768,1314.1566265060242,6217.192190216824,232.34469448675583,55742.18968186902,Return,6,poi,1,100.0
136,240.96385542168676,30.0,58063.57961968356,1314.1566265060242,7228.915662650603,270.96385542168673,73835.56757149078,Largest,6,poi,1,100.0
137,322.8266221975992,30.0,42282.80530143537,1314.1566265060242,31085.96095108412,352.8266221975992,105768.88383010964,Sshaped,6,poi,1,100.0
138,185.53680177958236,30.0,37658.385584243886,1939.1566265060242,6301.231653752691,215.53680177958236,51874.55915448695,Return,6,geo,1,100.0
139,240.96385542168676,30.0,58063.57961968356,1939.1566265060242,7228.915662650603,270.96385542168673,74460.56757149078,Largest,6,geo,1,100.0
140,306.0187294904258,30.0,37622.095846981596,1939.1566265060242,31506.158268763473,336.0187294904258,102573.56901101457,Sshaped,6,geo,1,100.0
141,206.54044750430293,30.0,43583.97445202497,1189.1566265060242,6196.213425129088,236.54044750430293,56840.111565020845,Return,6,det,1,100.0
142,240.96385542168676,30.0,58063.57961968356,1189.1566265060242,7228.915662650603,270.96385542168673,73710.56757149078,Largest,6,det,1,100.0
143,327.0223752151463,30.0,43547.68471476267,1189.1566265060242,30981.067125645444,357.0223752151463,106698.97559255958,Sshaped,6,det,1,100.0
144,198.29317269076304,30.0,41164.65863453815,1439.1566265060242,6237.449799196786,228.29317269076304,54753.268495669414,Return,6,negbin_5,1,100.0
145,240.96385542168676,30.0,58063.57961968356,1439.1566265060242,7228.915662650603,270.96385542168673,73960.56757149078,Largest,6,negbin_5,1,100.0
146,318.77510040160644,30.0,41128.36889727585,1439.1566265060242,31187.248995983937,348.77510040160644,104942.02351574975,Sshaped,6,negbin_5,1,100.0
147,200.28087761297692,30.0,41726.041887678075,1376.6566265060246,6227.511274585719,230.28087761297692,55232.27469958721,Return,6,negbin_10,1,100.0
148,240.96385542168676,30.0,58063.57961968356,1376.6566265060246,7228.915662650603,270.96385542168673,73898.06757149078,Largest,6,negbin_10,1,100.0
149,320.7628053238203,30.0,41689.75215041576,1376.6566265060246,31137.5563729286,350.7628053238203,105341.52152277899,Sshaped,6,negbin_10,1,100.0
